r_um,fluence_mJ_cm2
-7.652173913043478493e+00,3.086776859504132275e+01
-7.478260869565217739e+00,3.099173553719008112e+01
-7.304347826086956097e+00,3.119834710743801764e+01
-7.130434782608695343e+00,3.128099173553718870e+01
-6.956521739130434590e+00,3.140495867768595062e+01
-6.782608695652173836e+00,3.152892561983470898e+01
-6.608695652173913082e+00,3.165289256198347090e+01
-6.434782608695652328e+00,3.169421487603305820e+01
-6.260869565217391575e+00,3.185950413223140387e+01
-6.086956521739130821e+00,3.194214876033057848e+01
-5.913043478260869179e+00,3.210743801652892415e+01
-5.739130434782608425e+00,3.223140495867768607e+01
-5.565217391304347672e+00,3.227272727272727337e+01
-5.391304347826086918e+00,3.239669421487603529e+01
-5.217391304347826164e+00,3.247933884297520990e+01
-5.043478260869565410e+00,3.256198347107437741e+01
-4.869565217391304657e+00,3.264462809917355202e+01
-4.695652173913043903e+00,3.276859504132231393e+01
-4.521739130434782261e+00,3.280991735537190124e+01
-4.347826086956521507e+00,3.289256198347107585e+01
-4.173913043478260754e+00,3.297520661157025046e+01
-4.000000000000000000e+00,3.305785123966941796e+01
-3.826086956521739246e+00,3.314049586776859257e+01
-3.652173913043478048e+00,3.322314049586776719e+01
-3.478260869565217295e+00,3.330578512396694180e+01
-3.304347826086956541e+00,3.330578512396694180e+01
-3.130434782608695787e+00,3.338842975206611641e+01
-2.956521739130434590e+00,3.342975206611570371e+01
-2.782608695652173836e+00,3.351239669421487832e+01
-2.608695652173913082e+00,3.351239669421487832e+01
-2.434782608695652328e+00,3.359504132231405293e+01
-2.260869565217391131e+00,3.363636363636363313e+01
-2.086956521739130377e+00,3.367768595041322044e+01
-1.913043478260869623e+00,3.371900826446280774e+01
-1.739130434782608647e+00,3.376033057851239505e+01
-1.565217391304347894e+00,3.376033057851239505e+01
-1.391304347826086918e+00,3.384297520661156966e+01
-1.217391304347826164e+00,3.384297520661156966e+01
-1.043478260869565188e+00,3.384297520661156966e+01
-8.695652173913043237e-01,3.384297520661156966e+01
-6.956521739130434590e-01,3.384297520661156966e+01
-5.217391304347825942e-01,3.388429752066115697e+01
-3.478260869565217295e-01,3.392561983471074427e+01
-1.739130434782608647e-01,3.388429752066115697e+01
0.000000000000000000e+00,3.388429752066115697e+01
1.739130434782608647e-01,3.388429752066115697e+01
3.478260869565217295e-01,3.388429752066115697e+01
5.217391304347825942e-01,3.388429752066115697e+01
6.956521739130434590e-01,3.384297520661156966e+01
8.695652173913043237e-01,3.384297520661156966e+01
1.043478260869565188e+00,3.384297520661156966e+01
1.217391304347826164e+00,3.384297520661156966e+01
1.391304347826086918e+00,3.376033057851239505e+01
1.565217391304347894e+00,3.376033057851239505e+01
1.739130434782608647e+00,3.376033057851239505e+01
1.913043478260869623e+00,3.367768595041322044e+01
2.086956521739130377e+00,3.363636363636363313e+01
2.260869565217391131e+00,3.359504132231405293e+01
2.434782608695652328e+00,3.359504132231405293e+01
2.608695652173913082e+00,3.351239669421487832e+01
2.782608695652173836e+00,3.347107438016529102e+01
2.956521739130434590e+00,3.342975206611570371e+01
3.130434782608695787e+00,3.334710743801652910e+01
3.304347826086956541e+00,3.330578512396694180e+01
3.478260869565217295e+00,3.322314049586776719e+01
3.652173913043478048e+00,3.318181818181817988e+01
3.826086956521739246e+00,3.309917355371900527e+01
4.000000000000000000e+00,3.301652892561983776e+01
4.173913043478260754e+00,3.297520661157025046e+01
4.347826086956521507e+00,3.289256198347107585e+01
4.521739130434782261e+00,3.280991735537190124e+01
4.695652173913043903e+00,3.272727272727272663e+01
4.869565217391304657e+00,3.264462809917355202e+01
5.043478260869565410e+00,3.247933884297520990e+01
5.217391304347826164e+00,3.243801652892562259e+01
5.391304347826086918e+00,3.231404958677686068e+01
5.565217391304347672e+00,3.223140495867768607e+01
5.739130434782608425e+00,3.210743801652892415e+01
5.913043478260869179e+00,3.202479338842974954e+01
6.086956521739130821e+00,3.190082644628099118e+01
6.260869565217391575e+00,3.177685950413223281e+01
6.434782608695652328e+00,3.169421487603305820e+01
6.608695652173913082e+00,3.161157024793388359e+01
6.782608695652173836e+00,3.144628099173553792e+01
6.956521739130434590e+00,3.132231404958677601e+01
7.130434782608695343e+00,3.123966942148760495e+01
7.304347826086956097e+00,3.103305785123966842e+01
7.478260869565217739e+00,3.095041322314049737e+01
7.652173913043478493e+00,3.078512396694214814e+01
7.826086956521739246e+00,3.070247933884297353e+01
8.000000000000000000e+00,3.057851239669421517e+01
8.173913043478261642e+00,3.041322314049586950e+01
8.347826086956521507e+00,3.024793388429752028e+01
8.521739130434783149e+00,3.008264462809917461e+01
8.695652173913043015e+00,2.995867768595041269e+01
8.869565217391304657e+00,2.983471074380165433e+01
9.043478260869564522e+00,2.966942148760330511e+01
9.217391304347826164e+00,2.950413223140495944e+01
9.391304347826087806e+00,2.933884297520661022e+01
9.565217391304347672e+00,2.917355371900826455e+01
9.739130434782609314e+00,2.909090909090908994e+01
9.913043478260869179e+00,2.884297520661156966e+01
1.008695652173913082e+01,2.876033057851239505e+01
